wavs/1 (enhanced).wav|bienvenidos a un nuevo video para el canal. Piensa en el chupe. Okey no hahahahaha.
wavs/223 (enhanced).wav|Y lo bueno es que acá no hay fans de Alan Walker porque si no me tirarían sabroso, así miren.
wavs/224 (enhanced).wav|Se me perdió con todos mis, proyectos fallidos de remixear.
wavs/225 (enhanced).wav|Y se perdió también con un remix que intenté hacer, utilizando los ladridos de mi mascota como vocal chops.
wavs/226 (enhanced).wav|Podemos mandar esta demo a la disquera de Beich Récords, para ver cómo nos la firma otra vez, y volver a caer en estafas que casi estafaban a los chavosaldos, Na.
wavs/227 (enhanced).wav|No se crean, esta cosa no la pienso lanzar en una disquera, la verdad.
wavs/228 (enhanced).wav|Hasta aquí el video de hoy de produciendo con, dilley a ele de, dilley chavoaldo.
wavs/229 (enhanced).wav|¡Y listo! ¡nos despedimos! siempre termino llegando a Alan Walker en mis videos, pues eh, pues sí, estoy traumado con Alan Walker, y eso que no fui fan.
wavs/230 (enhanced).wav|Tube que venir acá, al cuarto donde me duermo, que en realidad es el cuarto de mi hermana, pero yo lo tomo prestado porque no está todavía.
wavs/231 (enhanced).wav|Porque aparte de tener al iu kei Wik y a Quiroguita, tengo a otra mascota pero no es tan genial como el iu kei wik y kiroguita.
wavs/232 (enhanced).wav|Tengo básicamente a un cuyito, que básicamente es como, una pequeña rata doméstica, que es originaria de Sudamérica.
wavs/233 (enhanced).wav|Esto va a sonar muy cruel, pero me di cuenta de que allá en Ecuador se come, y allá en Ecuador lo conocen como, cuyo asado.
wavs/234 (enhanced).wav|el cuyito asado que yo tengo, allá en Ecuador se lo comen acompañado de salsa y de arroz y un montón de cosas, y quiero probarlo güey ¿Saben?
wavs/235 (enhanced).wav| tengo esa curiosidad de probarlo. Yo siempre bromeo, porque cuando lo escucho, le digo "cuyito asado" porque pues, por eso.
wavs/236 (enhanced).wav|Como digo, no me llevo muy bien que digamos con ese cuyito asado, pero, también tiene lo suyo, tiene lo suyo.
wavs/237 (enhanced).wav|Y ahora sí, vamos a seleccionar el dilley set de hoy.
wavs/238 (enhanced).wav|Tenemos de todo. Tenemos canciones para chupe, oh sí, ¡esto se va a poner bueno!
wavs/239 (enhanced).wav|Como quiero que sea un set que tenga canciones llegadoras, pa que chupes a gusto, porque el programa de hoy, va a tratarse de eso justamente.
wavs/240 (enhanced).wav|La edición chupe, las más, que suenen como pa dolidos. Básicamente acá ando, armando mi track list, y básicamente pues ya.
wavs/241 (enhanced).wav|¡Pero tremendo! para hacerle más drama como es la chupe edition, vamos a agarrar y nos vamos a servir un vaso de chupe.
wavs/242 (enhanced).wav|Espero que hayan disfrutado cómo me vomitaba casi con esa pasta de las medidas de las cosas que me iban a poner.
wavs/243 (enhanced).wav|Espero que hayan disfrutado este blog, intenté hacer lo más divertido posible, y nada, nos vemos en un nueve, espero yo, o, en un próximo vídeo sobre Chrome os.
wavs/244 (enhanced).wav|Ey, qué pasa gente, bienvenidos a un nuevo vídeo para el canal y estoy muy feliz.
wavs/245 (enhanced).wav|Pude, hablar con él más o menos y ufff, qué tipazo güey. No tengo mucho que decirles, un tipazo.
wavs/246 (enhanced).wav|De verdad, por eso es que mi sueño principal es a, ir a Inglaterra y convertirme en un angloparlante o anglo mexicano.
wavs/247 (enhanced).wav|Lo siento, es que el phood del Mateo es brutal, ya se me pegó. Lo he visto como cuatro veces seguidas.
wavs/248 (enhanced).wav|Ey qué pasa gente, bienvenidos a un nuevo video para el canal, un nuevo vídeo para el año.
wavs/249 (enhanced).wav|Espero que se la hayan pasado a todo dar en, las fiestas, en año nuevo, en navidad, hayan convivido con su familia.
wavs/250 (enhanced).wav|Esto lo estoy grabando en la mañana así que, si no hablo con tanta fuerza y con tanto humor pues, lo siento mucho, es temprano.
wavs/251 (enhanced).wav|Hay gente que está durmiendo, y, ¿Por qué yo no estoy durmiendo? pues porque, no quiero.
wavs/252 (enhanced).wav|Bueno ya en fin, lo que vamos a hacer, en este, tutorial es una cosa muy genial que le puedes hacer al Windows.
wavs/253 (enhanced).wav|Y es básicamente cómo asignar combinaciones de sonidos, o, sonidos, a diferentes eventos, en Windows.
wavs/254 (enhanced).wav|Cuando abres una carpeta, cuando cierras un programa, estoy hablando de las combinaciones de sonidos.
wavs/255 (enhanced).wav|Qué pasa gente bienvenidos a un nuevo video, voy a ser breve con esta intro porque lo que tenemos hoy es muy interesante.
wavs/256 (enhanced).wav|Y básicamente estaremos hablando de lo que Google presentó, en el ces dos mil veintidós.
wavs/257 (enhanced).wav|Hay novedades en Android, en Chrome os, en un montón de cosas. Así que nada, vamos con el video.
wavs/258 (enhanced).wav|Hasta aquí terminamos el video de hoy, recuerden suscribirse, compartir, comentar, darle laik a este vídeo.
wavs/259 (enhanced).wav|seguirme en todas mis redes sociales que van a estar en la descripción, así como  en mi canal de télegram.
wavs/260 (enhanced).wav|Si estás, aún, sin suscribirte al canal de télegram, ¡suscríbete! ¡Haz paro! ¡Ayuda al barrio!.
wavs/261 (enhanced).wav|Porque tienes muy buenas cosas en ese canal de télegram. Así que nada, también visítenlo, estará en la descripción.
wavs/262 (enhanced).wav|Como siempre digo en todos mis videos, Good bye and see you soon in the next video.
wavs/263 (enhanced).wav|¡Eeey! qué pasa gente, bienvenidos a un nuevo vídeo para el canal de a ele de prodúcshions.
wavs/264 (enhanced).wav|Esta vez estamos en las novedades que se le han hecho a Chrome os noventa y dos, con respecto a accesibilidad.
wavs/265 (enhanced).wav|Estas novedades parten desde el sistema operativo hasta el lector de pantalla.
wavs/266 (enhanced).wav|Quédate conmigo si es que quieres saber todas las novedades con respecto a accesibilidad que se le han hecho a Chrome os y a Chrome box. ¡Comencemos!
wavs/267 (enhanced).wav|Se corrigió un error, por el cual se emitía el anuncio de Chrome box durante la configuración del dispositivo, incluso después de que el usuario había cerrado el cuadro de diálogo.
wavs/268 (enhanced).wav|Se agregó un enlace a tutorial de Chrome box, en la página de configuración de accesibilidad de Chrome os.
wavs/269 (enhanced).wav|Pilas de configuración con sangría para las páginas de opciones en funciones de accesibilidad.
wavs/270 (enhanced).wav|Seleccionar para pronunciar ahora puede usar el tacto para realizar una selección, en la pantalla principal.
wavs/271 (enhanced).wav|Se corrigió el dibujo de ubicación de desplazamiento de auto clic (seleccionar para pronunciar) en monitores externos.
wavs/272 (enhanced).wav|Chromebox y la accesibilidad mejorada funcionan en pantallas secundarias.
wavs/273 (enhanced).wav|Y o sea ¡los entiendo! yo sé que me van a querer matar en comentarios cuando diga todo esto que voy a, decir ahora.
wavs/274 (enhanced).wav|Pero, tenía ganas. Tenía ganas de hacer esto, la verdad.
wavs/275 (enhanced).wav|¿De qué vine a hablar hoy? porque hoy no vine a hablar, ninguna noticia de chromebooks, ninguna noticia de EDC.
wavs/276 (enhanced).wav|El punto es, que en este vídeo voy a hablar de por qué la sección de audio juegos del canal está tan abandonada.
wavs/277 (enhanced).wav|Sí, tipo. Esa sección en donde subo todos mis vídeos de mí, jugando audio juegos y, tipo haciendo puro despapaye.
wavs/278 (enhanced).wav|¿Por qué razón está abandonada? y también quiero decir por qué razón los audio juegos ya no me llaman tanto la atención como antes.
wavs/279 (enhanced).wav|Osea, Y a ver, no quiero que nadie se me ofenda, que me empiecen a, a decir, hasta de lo que me voy a morir en comments.
wavs/280 (enhanced).wav|Porque, yo antes, amé los audiojuegos, tipo, ¡yo los amaba! era algo muy genial.
wavs/281 (enhanced).wav|Siempre que salía, un juego nuevo, estaba tan emocionado por él, o sea no, no me importa que fuera, intentaba probarlo o si intentaba al menos.
wavs/282 (enhanced).wav|Saber su jugabilidad, siempre intentaba jugarlos.
wavs/283 (enhanced).wav|Y, pues, llegó un tiempo, en el que pues, no sé, a lo mejor yo sea el único que, los audiojuegos ya, ya no me llaman, o sea. ¡Ya no tienen nada de especial!
wavs/284 (enhanced).wav|No lo sé, pero llegó un tiempo en el que, ya no, los audiojuegos ya no me llamaron bro, o sea, tipo: sí, jugaba algunos cuantos, pero como que ñe.
wavs/285 (enhanced).wav|Luego de eso dije: hmm, empezaron a salir, muchos clones, juegos que realmente para mí no valían la pena.
wavs/286 (enhanced).wav|Y de verdad fue como que eh, ¿Por qué sigo en esto si la verdad hay juegos, si a veces salen juegos que no valen la pena para el jugador?
wavs/287 (enhanced).wav|Y la verdad eso me da tristeza, porque los audiojuegos tienen un montón de cosas para desarrollar güey. O sea,
wavs/288 (enhanced).wav|Denemos de ejemplo, al creisi Party, que lo intenté jugar, la verdad, no, no es mi estilo, la verdad no, no es mi estilo de juego, lo intenté jugar pero la verdad es que está muy bien desarrollado.
wavs/289 (enhanced).wav|Tipo, tengo que decirlo, ósea, está muy bien desarrollado y, y ese es uno de esos juegos que la verdad, sí me llegó a gustar.
wavs/290 (enhanced).wav|No es mi estilo de juego, porque yo no estoy acostumbrado a jugar los juegos de cartas y de Pokémon y de toda esta honda.
wavs/291 (enhanced).wav|Pero, la verdad es que ¡está muy bien desarrollado! o sea, hay ejemplos de juegos que sí valen la pena como ese, o también está el Aero scall.
wavs/292 (enhanced).wav|(Quien lo habrá jugado sabe de qué hablo) un juego RPG, que también vale le pena, o sea tipo: ¡Qué buen juego!
wavs/293 (enhanced).wav|Hay muchos juegos que valen la pena la verdad, y también hay muchos juegos que gustan.
wavs/294 (enhanced).wav|Lo único que quiero decir con esto es que ya los audiojuegos ya no me gustan mucho o sea, ya no soy como antes lo era.
wavs/295 (enhanced).wav|Porque, antes sí era muy fan, de hecho estaba metido, siempre estaba buscando cosas nuevas en tiflojuegos punto com.
wavs/296 (enhanced).wav|Un montón de cosas, la verdad estaba buscando audiojuegos para probar, yyy, pues ahora es como que eh.
wavs/297 (enhanced).wav|Hmhm, sí ehehehehe. Finalmente, estamos en la recopilación de los mejores vídeos de a ele de prodúcshions, esta vez del dos mil veinte.
wavs/298 (enhanced).wav|Por esto mismo de que, ya no hay juegos que valgan la pena, y si hay, hay algunos pocos, la verdad.
wavs/299 (enhanced).wav|O sea como el caso del creisi parti, el caso del Aero scall, ¿Cuál más podría mencionar?
wavs/300 (enhanced).wav|Recientemente el, el heartstone, pero ese no es un audio juego, es un videojuego, pero la verdad sí, vale tremendamente la pena ese.
wavs/301 (enhanced).wav|Osea, está el be ca dos, el be ca tres, de verdad, qué juegos tan buenos e impresionantes, con buena calidad de sonido y, y y buena historia.
wavs/302 (enhanced).wav|Pero luego hay otros que dices: Heee, ¡esto ya lo he jugado antes! y quiero llegar a ese tema de los clones.
wavs/303 (enhanced).wav|¡Porque sí! yo llegué a jugar clones, la verdad. No me voy a,
wavs/304 (enhanced).wav|Ahaham, ¡Piensa en el chupe! ok no ahaha.
wavs/305 (enhanced).wav|No voy a negar, que yo jugué clones en el pasado la neta o sea jugué, batalla constante, que era un clon de un clon.
wavs/306 (enhanced).wav|Luego jugué ultrapower, que era un clon de otro clon, ¡No sé! o sea, tipo los juegos ya, ya no me llaman la atención por esto, de que no hay innovación a veces, y de que siempre los desarrolladores tienen que andar clonando.
wavs/307 (enhanced).wav|O sea no todos, no todos, hay desarrolladores que sí hacen juegos muy buenos, y no necesitan clonar los de otras personas.
wavs/308 (enhanced).wav|¡Y a ver! probablemente lo que yo piense aquí, a todos les valdrá demasiado, y probablemente me vayan a matar en comments, que espero que no sea, porque básicamente es mi opinión.
wavs/309 (enhanced).wav|Son mis, mis, mis gustos personales bro, o sea, tipo: si a ti te siguen gustando los audiojuegos, si tú eres amante, si tú eres fan a muerte, ¡Okey!
wavs/310 (enhanced).wav|Yo lo respeto, pero a mí en lo personal ya no me gustan güey. Ósea, no me gustan tanto como antes.
wavs/311 (enhanced).wav|Y yo creo que la razón principal de que, no haya innovación a veces en los audiojuegos, es porque, hay un cierto porcentaje de la comunidad de jugadores, que todo lo quieren gratis.
wavs/312 (enhanced).wav|Todo lo quieren gratis como si no supieran, que detrás de todo el desarrollo de ese juego o de ese supuesto juego, supongamos que, alguien hace un juego innovador.
wavs/313 (enhanced).wav|Yo siempre he querido un juego de futbol, de estos como el FIFA, que puedas tener tus equipos, pero que fuera accesible con lectores de pantalla.
wavs/314 (enhanced).wav|¡Dios mío! Saben cuánto trabajo tendría que requerir un juego de ese tipo, tendrías que invertir en el diseño de sonido, que de por sí es muy difícil hacer un buen diseño de sonido.
wavs/315 (enhanced).wav|Tipo ósea, de verdad, y luego me estoy acordando de esto porque,
wavs/316 (enhanced).wav|Porque en un hilo de la sala de juegos, del muerte en la carretera, juego que por cierto adoro a montones, es uno de esos juegos que todavía le tengo mucho cariño a parte del bítstar, y el top spid.
wavs/317 (enhanced).wav|Porque, el top speed, fue mi primer audiojuego. Tipo fue el primer audiojuego que yo descubrí.
wavs/318 (enhanced).wav|Y ufff, estaba sorprendido de la maravilla de juego de juego, por dios, esto es un juegazo.
wavs/319 (enhanced).wav|Tipo siempre lo jugaba cada día en, en mi casa. Y luego descubrí bítstar y dije como ¡Oh por dios!
wavs/320 (enhanced).wav|Así que sí, ósea, esos dos juegos de verdad les tengo un buen cariño, igual a muerte en la carretera, tipo fueron mis juegos de la infancia, y pos siempre lo jugaba y me divertía a montón.
wavs/321 (enhanced).wav|¡Y vuelvo! un usuario le preguntó a, a Oriol Gómez, el desarrollador del muerte en la carretera, que si podía hacer un juego de futbol.
wavs/322 (enhanced).wav|De estos como FIFA, tipo esto que puedes elegir tus equipos, modo carrera, bla, toda esta vuelta, hhy y el mismo Oriol le dijo: ¿Tú pagarías por él?
wavs/323 (enhanced).wav|Porque hay gente que todo lo quiere gratis en la comunidad. Y ojo, no estoy diciendo que todos sean así, obviamente, no.
wavs/324 (enhanced).wav|Pero hay personas, ciegas, que todo lo quieren gratis, por el simple hecho, de que somos ciegos y que, nos tienen que dar todo así,
wavs/325 (enhanced).wav|¿Cómo puedo decirlo? de que nos tienen que dar todo así, ¡fácil!. Fácil, sin tener que hacer nada por ello.
wavs/326 (enhanced).wav|No sé qué pensamiento tienen, porque osea, yo creo que por eso no hay innovación en los juegos, porque los desarrolladores no se atreven a hacer, algo innovador.
wavs/327 (enhanced).wav|No se atreven a hacer algo, genial, que tu digas: uuf, esto va a ser la honda, porque al final va a ver personas que les van a crackear su juego, que les van a piratear, etcétera etcétera.
wavs/328 (enhanced).wav|Y pues van a decir: ¿Para qué me tomé mucho tiempo programando esto sí, si al final no voy a recibir lo que quiero?
wavs/329 (enhanced).wav|Yo, la verdad, fui una de esas personas que decía: sí, quiero que todo sea gratis, ¡yey! no no creo que le cueste trabajo al desarrollador.
wavs/330 (enhanced).wav|Y eso aplica para todo, o sea siempre lo pensaba con programas, y con, es más, hasta lo pensaba con el mismo llous, decía: Eee, ¿Por qué no puede ser gratis? ¡Váyanse por allá! ¡Yo quiero gratis!
wavs/331 (enhanced).wav|pero ya después del tiempo me fui, como que haciendo la idea de que los, desarrolladores necesitan tiempo, y necesitan muchas muchas horas de programación para hacer un audiojuego muy bueno, en este caso.
wavs/332 (enhanced).wav|De verdad, hay cosas que yo quisiera que se hicieran en audiojuego, como el, el mismo FIFA, o el mismo rócket lig, ufff, ¡Qué buen videojuego! rócket lig.
wavs/333 (enhanced).wav|Pero desafortunadamente voy a seguir soñando eso, porque, no sé si vaya a ver desarrolladores que se atrevan a hacer eso, y encima gratis.
wavs/334 (enhanced).wav|¡No lo creo, güey! ¡No lo creo! porque es demasiado difícil hacer un juego de esos, y por eso es que yo, no juego juegos que son de paga.
wavs/335 (enhanced).wav|Tipo siempre me llamó la atención el, el vari vari fuxal, pero como es de paga y no tengo dinero para comprarlo, pues no lo juego porque no quiero crackearlo, la verdad.
wavs/336 (enhanced).wav|Yo siempre he pensado que, no es buena idea piratear las cosas, por más que digan que, qué va a pasar si lo haces. Pero a mí nunca me ha gustado la, la piratería hasta estos momentos, la verdad.
wavs/337 (enhanced).wav|Núnca me ha gustado. Por eso es que, cuando salía ese tipo de juegos, por ejemplo el mánamon, que sí lo llegué a jugar, no me gustó del todo, pero la verdad está muy bueno también ese juego.
wavs/338 (enhanced).wav|No sé, no quería jugarlo, porque, no quería crackearlo, la verdad. Obviamente una vez sí lo jugué con crack y todo, pero, ya después al tiempo lo, lo desinstalé porque no me convenció del todo y porque, ¡por dios!
wavs/339 (enhanced).wav|¡Cómo yo voy a ser malo y no voy a apoyar al desarrollador por el trabajo que está haciendo güey! o sea, tipo como que, es como si yo le estuviera diciendo: sí, estoy jugando tu juego, pero no te estoy dando nada por él.
wavs/340 (enhanced).wav|Y sí, o sea, ¡Creo que ya me desvié del tema! pero básicamente es eso por lo que, la sección de audiojuegos está abandonada y, por lo que los juegos ya no me llaman tanto la atención o sea, tipo ya, para mí algo ya son algo normal.
wavs/341 (enhanced).wav|Los juegos, ya no me llaman tanto la atención. Uno, porque, es muy difícil que haya juegos innovadores, haya juegos nuevos, que ofrezcan algo distinto, es demasiado difícil.
wavs/342 (enhanced).wav|Y porque siempre hay muchos clones. Cada día, hay, miles de clones del mismo juego, por ejemplo batalla constante fue un clon, y luego se pasó a otro juego que ya no sé cómo se llama.
wavs/343 (enhanced).wav|Que yo en su día jugué batalla constante,, así que no sé por qué estoy hablando. Pero, justo por eso no me llaman tanto la atención los juegos.
wavs/344 (enhanced).wav|Sí, es un tema muy complicado, yo sé, yo sé, y la verdad, si quieren tirarme vara, háganlo, la neta, yo, yo yo aguanto.
wavs/345 (enhanced).wav|Ahorita van a venir un montón de fans dejo de los audiojuegos a descargarse contra mí y, naa, es que no sabes nada, es que los audiojuegos Na Na Na Na Na Na Na.
wavs/346 (enhanced).wav|No no no no no, ¡me estoy imaginando eso bro! es mi opinión totalmente personal otalmente irrelevante. Si tú tienes la tuya, déjala en los comentarios.
wavs/347 (enhanced).wav|Recuerden hh suscribirse al canal, compartir, comentar, dejar su laik, si piensan lo mismo que yo o, o dislaiks si es que les vale.
wavs/348 (enhanced).wav|¿Saben qué? ¡Fue suficiente de esto! canto muy bien, pero no tengo que decirlo en un vídeo, así que nada.
wavs/349 (enhanced).wav|¡Yaaay! ¡Regresó!. Y en esta ocasión estamos en la sección de audiojuegos, hoy vamos a jugar el bítstar pro renovado, totalmente reescrito en un lenguaje de programación que se llama Electron.
wavs/350 (enhanced).wav|Aquí se acaba este gran rap del lector de pantalla ene ve de a. Espero que les haya gustado el vídeo, hasta aquí terminamos, recuerde darle laik, suscribirse, compartir, comentar, y nada.
wavs/351.wav|Qué honda gente aquí Aldo, o a ele de prod, como quieran, como quieran decirle, realmente ah, o chavoaldo calendar.
wavs/352.wav|Es un chiste es un chiste muy raro que me surgió un día que, en fin vamos al grano con esta honda, ya está disponible mi remix de, hacia abajo, en mi yutub,
wavs/353.wav|Y pues en unos momentos más va a estar disponible en Facebook, y en insta, para que puedan escucharlo por ahí, en télegram pues ya está el audio así que em, no hay necesidad de publicarlo otra vez,
wavs/354.wav|Solamente les digo que en el video que les acabo de dejar, está el link, para que puedan descargar este remix de forma gratuita si es que quieren, si es que quieren tener eso guardado en su almacenamiento,
wavs/355.wav|De su teléfono de su computadora de donde sea que consuman contenido, pues ahí está el link a mi Google Draiv, para que puedan descargar ese rémix. No en alta calidad,
wavs/356.wav|Pero sí, no tan mala calidad ¿Saben? Es un cincuenta cincuenta entre buena y mala calidad. Yo sé que el rémix no está masterizado, le falta masterización,
wavs/357.wav|Tiene algunos detalles la verdad, que em, pues yo espero con el pasar del tiempo, poder, corregir, y bueno no poder si no, corregir todos esos errores como, la masterización, las melodías,
wavs/358.wav|Hay ciertas partes que las melodías, no están tan bien, si están bien pero no están tan bien, no son algo coherentes, pues básicamente eso,
wavs/359.wav|Así que espero, que les guste este remix que, también lo publiqué por, en agradecimiento ¿Saben? A haber llegado, a ciento veintiún suscriptores en Yutub, así que, gracias totales, bueno.
wavs/360.wav|Pues nada, vean el rémix, descárguenlo, el fídbac, es, bien recibido, siempre y cuando sea, fídbac, constructivo, y ya pues, así,
wavs/361.wav|Realmente aprecio mucho, sus comentarios, sobre todo los que sepan algo de música o algo así, o produzcan, porque realmente me ayudaría mucho, am trabajar en lo que tengo por mejorar, y así,
wavs/362.wav|Así que nada este, es mi primer producción por así decirlo con mi, alias de dilley ALd, así que em, espero que lo disfruten, que se diviertan,
wavs/363.wav|como yo también me divertí creando este remix porque la verdad fue divertido a pesar de que, no lo creé seriamente saben, fue como un proceso de diversión, aún así me terminé divirtiendo un buen,
wavs/364.wav|Así que nada, los veo yo en rato en, mi radio, si todo sale bien si Dios quiere digan por ahí, los veo este, en mi programa de radio, para pues nueva música i di em,
wavs/365.wav|Y pues como siempre mucho despapaye por mi parte y el Alan Wóker in pléilist, que no puede faltar nunca aunque, desafortunadamente o afortunadamente para mí el Alan Wóker ya no ha sacado música entonces estoy muy feliz porque.
wavs/366.wav|Ya no tengo que poner el ¡Oh por dios! Alan Wóker in pléylist, in de pléylist mej mejor dicho, ese sámpol ese sámpol que agarré y lo grabé mientras estaba aburrido y y lo pongo en todos mis programas de, en fin en fin en fin, todo eso,
wavs/367.wav|Disfruten mi rémix, ya lo dije, yo sé parezco disco rayado, pero, disfrútenlo, denle laik si les gustó, denme retroalimentación, sobre todo, bueno los productores, los que sepan de música la verdad lo aprecio,
wavs/368.wav|Lo apreciaría mucho, y también pues usuarios en general, la verdad es que realmente todo tipo de comentarios, son bien recibidos, yyy nada pues yo los veo después los veo en mi programa de radio o con otro video,
wavs/369.wav|Obvio voy a estar en la radio, pero los voy a ver pronto con un, nuevo video y quizá con un nuevo rémix, estoy trabajando en un nuevo rémix para, el electro jaus de ALd más.
wavs/370.wav|Este del mami yo no quiero. Entonces sí, todavía no tengo empezado ese proyecto pero estoy empezando a ver, cómo podría quedar, qué honda qué carajo le podría cambiar o en qué género podría adaptarla,
wavs/371.wav|Saben, va a ser un rémix i di em, nada diferente a lo que hice hoy, y pues así, realmente nada estoy muy feliz de poder, compartir mi primera producción, muy muy mal masterizada sí pero,
wavs/372.wav|Lo que cuenta es que, por fin me animé ¿Saben? Y eso, eso al final de cuentas es lo que importa más. Que al final no lo intentes o sea, porque si no lo intentas pues. Nunca sabrás si podrá salirte algo o no, ahora sí,
wavs/373.wav|ALd prod,  o ald productions para la gente que me dice de esa forma, o para los cuates para los amigos, como, Aldito aquí hablándoles, o Aldo simplemente,
wavs/374.wav|Este es un audio, corto, espero que sea corto, básicamente, para decirles que ya he actualizado mi pléylist oficial de spódifai, de ALd productions pléylist,
wavs/375.wav|Que es básicamente una pléylist en la que comparto toda la música, que escucho a lo largo de mi día, también, hay nuevos lanzamientos con respecto al i di em, yyy pues, con otros géneros de música,
wavs/376.wav|Suele ser muy rara vez, pero sí, y quiero contarles de los tracks que tenemos este viernes, y quiero empezar por uno que se llama shen a lait, de clas,
wavs/377.wav|Este track es un track muy bueno, podría considerarse un track slab jaus, pero no lo es, la verdad tiene un buen mensaje, y me ha gustado me ha encantado, no sé. Voy a escucharlo,
wavs/378.wav|Es un track dans i di em normal y corriente, pero que merece mucho support y muchos strímings en spódifay,
wavs/379.wav|Pasando de ese track, les voy a dar más o menos los tracks que he añadido aunque básicamente son un montón, tenemos de culbi, este track es de un productor, británico,
wavs/380.wav|Para no perder la costumbre de que me gusta todo lo que tiene que ver con Inglaterra, y no puedo definir este track, porque fue algo muy diferente de culbi después de sédisfaid, que fue un track, fue algo muy diferente ahora culbi hizo algo muy distinto,
wavs/381.wav|Y la verdad es que está genial, para los curiosos las prévius de los tracks ban a estar en el Facebook, en mis historis, del Facebook de ALd productions. Y pues básicamente hablando de jard stail, tenemos, oeisis de fair lait,
wavs/382.wav|Muy buen track jard stail, que, tiene, como que estas vibras de rock, el inicio, muy buen track, luego tenemos, qué otro track. Muy buen track, que, a mí me parece japy járdcor pero.
wavs/383.wav|Ustedes me dirán si es que escuchan la pléylist, tenemos un track, ya dejando el jard stail, hay más lanzamientos jard stail pero ahora no me acuerdo cuáles, pasando a otros tracks tenemos dímons de em. Trolu,
wavs/384.wav|Un buen track muy bueno muy hermoso muy espectacularmente bueno que, Dios mío es, es brutal, y, habla, sobre las inseguridades básicamente de.
wavs/385.wav|Del mismo productor que creó la canción bueno son dos, productores, holandeses. Y nada, simplemente eso también, decirles que el link a la pléylist lo voy a dejar a continuación,
wavs/386.wav|Por si quieren pasarse o por si quieren darle un laik a la pléylist, por si quieren explorar más o menos, el tipo de i di em que escucho que es bastante variado, y pues también. Ban a poderse encontrar música un poco rara,
wavs/387.wav|Que no debería de estar en esa pléylist porque solamente es de i di em, pero ahí ban a encontrar música un poco rara, yy, nada, simplemente eso también avisarles que ya está disponible el video de hoy en ínstagram, el link al ínstagram lo voy a poner pronto,
wavs/388.wav|Por ahora no porque. Saben, tarde, es tarde, dejarlos descansar un poco y después vuelvo a espamear, pero sí, y nada. Simplemente eso, no se me olvida nada más, simplemente eso, y nada.
wavs/389.wav|Los veo el lunes, o probablemente el viernes, no sé, o el miércoles en mi programa de radio de de ALd productions radio o el lunes también en ese programa, no lo sé, pero por ahora es todo,
wavs/390.wav|Vean la pléylist, sigan reproduciendo los videos de ALd prod sigan, escuchando los, el pódcast en spódifay, de, ALd prod pódcast,
wavs/391.wav|Síganlo por cierto si no lo han seguido, síganme en Twitter, Facebook, ínstagram, télegram, el canal de, Yutub, y el pódcast. Y nada.
wavs/392.wav|Simplemente, para avisarles que mi pléylist de, i di em, de ALD productions pléylist, ya está actualizada, la mente tiene muy buenos tracks.
wavs/393.wav|Es una canción que originalmente fue hecha por arti pero está remixeada, nada del otro mundo pero, buen rémix, así que pues wau. Realmente, hay muy buena música i di em ahí,
wavs/394.wav|También tenemos los bip mixes de, drinks on mi, y nada. Pues, simplemente eso, nos vemos mañana nos vemos mañana o, o no sé la verdad. Siempre estoy mandando contenido a este canal así que.
wavs/395.wav|No podría decir nos vemos porque, casi siempre publico cosas, a altas horas de la noche lo cual no sé por qué lo hago pero bueno. Chequen el video disponible ya en mi, yutub, en mi spódifay,
wavs/396.wav|en mi télegram, en este mismo canal está disponible el audio, en Facebook en ínstagram, y nada denle mucho support al video de hoy, nos vemos el lunes con contenido nuevo, que tengo tres videos grabados,
wavs/397.wav|Que pronto los voy a publicar, el lunes no, no voy a publicar ninguno de esos, sí voy a publicar cosas muy distintas así que nada estén al pendiente porque.
wavs/398.wav|Una de las cosas que estoy buscando es innovar con respecto a mi contenido, en este año yy pues, que al mismo tiempo les guste así que nada,
wavs/399.wav|Es un anuncio de un camión de carro que aparece siempre por acá por donde yo vivo, que aparece ahí diciendo: se compran, licuadoras,
wavs/400.wav|Estos güeyes lo. Lo recrearon, e o sea en ese video recrearon ese anuncio, y lo hicieron canción, pero está demasiado raro güey. Porque de hecho esa cosa,
wavs/401.wav|ME apareció un día en los nuevos lanzamientos de Yutub miúsic, cuando todavía usaba yutub miúsic, y no sé es es muy experimental, esa madre,
wavs/402.wav|Porque es sacado de una cosa original de ese anuncio de. Ese anuncio original, lo trai un carro, que se dedica a vender, acá en México fierro, que ya no sirva o sea cosas que ya no funcionen.
wavs/403.wav|Que tengan que ver con fierro por ejemplo los hornos de microondas y eso, si encuentro ese anuncio te lo mando para que veas que es casi igual,
wavs/404.wav|Nada más que no es igual porque ahí no lo recrearon, el original no está recreado en canción. Fue una cosa muy rara que me, apareció en yutub miúsic tiempo atrás. Y me acordé de ella y dije no bueno.
wavs/405.wav|Google ha actualizado su sistema operativo Chrome os con el lanzamiento de la versión noventa y ocho, que soluciona diversos fallos de seguridad y añade treinta y siete nuevos emollis,
wavs/406.wav|Más control sobre las capturas de pantalla, y nuevos atajos con accesos directos. Chrome os noventa y ocho soluciona cinco fallos de seguridad, cuatro de importancia alta, y uno de importancia baja.
wavs/407.wav|Los más importantes, se refieren a un fallo en la aplicación de impresión, otro en shar shet, para compartir documentos con nérvai sher, y otros dos en shélfai éxelf.
